publishedAt,author,description,source,type,title,url
2025-04-26T05:40:00Z,Angus Watson,"Virginia Giuffre, a prominent survivor of financier Jeffrey Epstein’s sex crimes, who alleged Britain’s Prince Andrew abused her when she was a teenager, has died by suicide, her family said. She was 41.",CNN,news,"Virginia Giuffre, prominent Jeffrey Epstein sex abuse survivor and accuser of Prince Andrew, has died - CNN",https://www.cnn.com/2025/04/25/australia/prince-andrew-accuser-virginia-giuffre-dies-intl-hnk/index.html
2025-04-26T04:38:01Z,null,Resetting the board for the Patriots after the first two days of the 2025 NFL Draft.,Patriots.com,news,Lazar's Best Players Available for the Patriots Heading Into Day Three of the NFL Draft - New England Patriots,https://www.patriots.com/news/lazar-s-best-players-available-for-the-patriots-heading-into-day-three-of-the-nfl-draft
2025-04-26T04:01:11Z,Pandora Dewan,"April 25, 2025: Our weekly roundup of the latest science in the news, as well as a few fascinating articles to keep you entertained over the weekend.",Live Science,news,Science news this week: A 'skull' on Mars and the discovery of a brand-new color - Live Science,https://www.livescience.com/animals/science-news-this-week-a-skull-on-mars-and-the-discovery-of-a-brand-new-color
2025-04-26T03:57:00Z,,The polarizing signal-caller did not hear his name called Thursday or Friday night,CBS Sports,news,Did Shedeur Sanders get drafted? Colorado QB shocks by falling past first three rounds of NFL Draft 2025 - CBS Sports,https://www.cbssports.com/nfl/draft/news/did-shedeur-sanders-get-drafted-colorado-qb-shocks-by-falling-past-first-three-rounds-of-nfl-draft-2025/
2025-04-26T03:20:22Z,"Mookie Alexander, Ted Zahn",The Seattle Seahawks continue their 2025 NFL Draft with two picks in Round 3!,Field Gulls,news,Seattle Seahawks 2025 NFL Draft Round 3 live tracker and updates! - Field Gulls,https://www.fieldgulls.com/2025/4/25/24417035/seattle-seahawks-2025-nfl-draft-round-3-tracker-live-results-open-thread
2025-04-26T03:00:00Z,Nellie Andreeva,"Stephanie Arcila, who plays Gabriela Perez, and Billy Burke, who plays Vince Leone, are leaving CBS' Fire Country after three seasons.",Deadline,news,‘Fire Country’ Shocker: Two Original Cast Members Leaving CBS Drama After 3 Seasons - Deadline,http://deadline.com/2025/04/fire-country-gabriela-vince-leaving-billy-burke-stephanie-arcila-1236372400/
2025-04-26T02:50:52Z,"Andrew Solender, Marc Caputo, Sara Fischer","Bondi said she wants to ""identify and punish the source of improper leaks.""",Axios,news,Pam Bondi revokes Biden-era DOJ policy against subpoenaing journalists - Axios,https://www.axios.com/2025/04/25/bondi-doj-garland-subpoena-journalists
2025-04-26T01:57:47Z,Mark Berman,Former U.S. representative George Santos pleaded guilty last year to federal charges of aggravated identity theft and wire fraud.,The Washington Post,news,Former congressman George Santos sentenced to more than 7 years in prison - The Washington Post,https://www.washingtonpost.com/politics/2025/04/25/george-santos-sentencing-fraud-case/
2025-04-26T01:27:00Z,"Ashley Bastock, cleveland.com",Former Ohio State star Quinshon Judkins shares the hilarious story of missing the Browns' call that would change his life forever during the 2025 NFL Draft.,cleveland.com,news,Why Browns’ newest running back Quinshon Judkins nearly missed his draft day phone call - Cleveland.com,https://www.cleveland.com/browns/2025/04/why-browns-newest-running-back-quinshon-judkins-nearly-missed-his-draft-day-phone-call.html
2025-04-26T01:23:55Z,Rebecca Carballo,"The mascot, an illustration of man wearing a feathered headdress, has been used for decades.",Politico,news,Education Department to probe New York for trying to pull school mascot of Native American - Politico,https://www.politico.com/news/2025/04/25/education-department-to-investigate-new-york-doe-over-mascot-controversy-00311512
2025-04-26T00:55:00Z,"Alanna Durkin Richer, Devi Shastri, Scott Bauer",The FBI has arrested a Milwaukee judge accused of helping a man evade immigration authorities. Friday's arrest escalates a clash between the Trump administration and local authorities over the president’s sweeping immigration crackdown. Milwaukee County Circu…,Associated Press,news,FBI arrests a Milwaukee judge accused of helping a man evade immigration authorities - AP News,https://apnews.com/article/immigration-judge-arrested-7997186bbca5730e70a25f2347e631f6
2025-04-26T00:46:28Z,Sanjay Thakur,"Tonight’s WWE SmackDown, airing April 25, 2025, promises an action-packed night live from the Dickies Arena in Fort Worth, Texas. The post-WWE",Ringside News,news,"WWE SmackDown Match Results, Highlights and Key Moments for April 25, 2025 - Ringside News",https://www.ringsidenews.com/2025/04/25/wwe-smackdown-results-april-25-2025/
2025-04-25T23:21:58Z,John Ingold,A vaccinated Denver resident who had recently traveled to Mexico was confirmed as the state's fifth measles case of 2025,The Colorado Sun,news,"Vaccinated adult from Colorado infected with measles, the state's first “breakthrough” case this year - The Colorado Sun",http://coloradosun.com/2025/04/25/colorado-measles-breakthrough-case-vaccination/
2025-04-25T23:10:02Z,"Kyle Cheney, Josh Gerstein",The administration reversed course after dozens of judges ordered it to reinstate legal records for student visa holders.,Politico,news,How a Trump administration crackdown on foreign students unraveled - Politico,https://www.politico.com/news/2025/04/25/foreign-students-visas-donald-trump-00311600
2025-04-25T22:33:00Z,Michael R. Sisak,"Luigi Mangione has pleaded not guilty to a federal murder charge in the killing of UnitedHealthcare CEO Brian Thompson, as prosecutors formally declared their intent to seek the death penalty against him. Mangione, 26, stood with his lawyers as he entered the…",Associated Press,news,Luigi Mangione pleads not guilty to federal death penalty charge in UnitedHealthcare CEO’s killing - AP News,https://apnews.com/article/unitedhealthcare-ceo-killing-luigi-mangione-nyc-bc926d92af482822c3186d55b87c5115
2025-04-25T22:31:48Z,Kara Carlson,A Jeff Bezos-backed startup aims to appeal to American car buyers’ patriotism and pocketbooks.,Bloomberg,news,"Bezos-Backed Startup Launches Cheap, US-Made Electric Pickup - Bloomberg.com",https://www.bloomberg.com/news/articles/2025-04-25/bezos-backed-startup-launches-cheap-us-made-electric-pickup
2025-04-25T22:01:00Z,Olivia Aldridge,Austin Public Health shared locations where the sick individual may have exposed others.,KUT,news,"Second measles case reported locally, Austin Public Health says - KUT",https://www.kut.org/health/2025-04-25/austin-tx-measles-case-reported-locations-travis-county
condition,city,temperature,humidity,type,windSpeed,timestamp
Clear,Mitte,15.63,38,weather,6.71,1745748903
publishedAt,author,description,source,type,title,url
2025-04-26T07:58:00Z,"Aijaz Hussain, Rajesh Roy, Munir Ahmed",India’s military says Pakistani soldiers shot at Indian posts along the highly militarized frontier in disputed Kashmir for a second consecutive night. The cross-border fire followed a gun attack on tourists in Kashmir that India blames Pakistan for. It was t…,Associated Press,news,Indian military says Pakistani troops fired at positions along the border in disputed Kashmir - AP News,https://apnews.com/article/india-pakistan-kashmir-attack-829911d3eae7cfe6738eda5c0c84d6ae
2025-04-26T05:40:00Z,Angus Watson,"Virginia Giuffre, a prominent survivor of financier Jeffrey Epstein’s sex crimes, who alleged Britain’s Prince Andrew abused her when she was a teenager, has died by suicide, her family said. She was 41.",CNN,news,"Virginia Giuffre, prominent Jeffrey Epstein sex abuse survivor and accuser of Prince Andrew, has died - CNN",https://www.cnn.com/2025/04/25/australia/prince-andrew-accuser-virginia-giuffre-dies-intl-hnk/index.html
2025-04-26T05:11:27Z,https://www.facebook.com/bbcnews,"US President Trump, France's Emmanuel Macron and Ukraine's President Zelensky are among those attending the funeral in St Peter's Square in the Vatican.",BBC News,news,"World leaders, including Zelensky, arrive in Rome for Pope Francis's funeral - BBC",https://www.bbc.com/news/live/c62jldpz9wyt
2025-04-26T04:38:01Z,null,Resetting the board for the Patriots after the first two days of the 2025 NFL Draft.,Patriots.com,news,Lazar's Best Players Available for the Patriots Heading Into Day Three of the NFL Draft - New England Patriots,https://www.patriots.com/news/lazar-s-best-players-available-for-the-patriots-heading-into-day-three-of-the-nfl-draft
2025-04-26T04:24:00Z,,Which teams could stop the quarterback's slide?,CBS Sports,news,Shedeur Sanders best landing spots: Ranking possible teams to select Colorado QB on Day 3 of 2025 NFL Draft - CBS Sports,https://www.cbssports.com/nfl/news/shedeur-sanders-best-landing-spots-ranking-possible-teams-to-select-colorado-qb-on-day-3-of-2025-nfl-draft/
2025-04-26T04:01:11Z,Pandora Dewan,"April 25, 2025: Our weekly roundup of the latest science in the news, as well as a few fascinating articles to keep you entertained over the weekend.",Live Science,news,Science news this week: A 'skull' on Mars and the discovery of a brand-new color - Live Science,https://www.livescience.com/animals/science-news-this-week-a-skull-on-mars-and-the-discovery-of-a-brand-new-color
